pdbTM,sample,length
0.654,sample_7,len_122
0.525,sample_8,len_122
0.585,sample_9,len_122
0.738,sample_0,len_123
0.572,sample_1,len_123
0.68,sample_2,len_123
0.699,sample_3,len_123
0.649,sample_4,len_123
0.732,sample_5,len_123
0.769,sample_6,len_123
0.59,sample_7,len_123
0.691,sample_8,len_123
0.548,sample_9,len_123
0.63,sample_0,len_124
0.534,sample_1,len_124
0.549,sample_2,len_124
0.76,sample_3,len_124
0.645,sample_4,len_124
0.61,sample_5,len_124
0.571,sample_6,len_124
0.796,sample_7,len_124
0.594,sample_8,len_124
0.623,sample_9,len_124
0.696,sample_0,len_125
0.784,sample_1,len_125
0.535,sample_2,len_125
0.698,sample_3,len_125
0.58,sample_4,len_125
0.774,sample_5,len_125
0.712,sample_6,len_125
0.622,sample_7,len_125
0.748,sample_8,len_125
0.676,sample_9,len_125
0.855,sample_0,len_126
0.631,sample_1,len_126
0.78,sample_2,len_126
0.735,sample_3,len_126
0.755,sample_4,len_126
0.676,sample_5,len_126
0.76,sample_6,len_126
0.523,sample_7,len_126
0.681,sample_8,len_126
0.635,sample_9,len_126
0.655,sample_0,len_127
0.797,sample_1,len_127
0.776,sample_2,len_127
0.687,sample_3,len_127
0.604,sample_4,len_127
0.592,sample_5,len_127
0.697,sample_6,len_127
0.618,sample_7,len_127
0.784,sample_8,len_127
0.881,sample_9,len_127
0.671,sample_0,len_128
0.676,sample_1,len_128
0.829,sample_2,len_128
0.882,sample_3,len_128
0.623,sample_4,len_128
0.599,sample_5,len_128
0.817,sample_6,len_128
0.815,sample_7,len_128
0.559,sample_8,len_128
0.686,sample_9,len_128
